sampleID	factor_1	factor_2	factor_3	factor_4	factor_5	factor_6	factor_7	factor_8	factor_9	factor_10	factor_11	factor_12	factor_13	factor_14	factor_15	factor_16	factor_17	factor_18	factor_19	factor_20	factor_21	factor_22	factor_23	factor_24	factor_25	factor_26	factor_27	factor_28	factor_29	factor_30	factor_31	factor_32	factor_33	factor_34	factor_35	factor_36	factor_37	factor_38	factor_39	factor_40	factor_41	factor_42	factor_43	factor_44	factor_45	factor_46	factor_47	factor_48	factor_49	factor_50	factor_51	factor_52	factor_53	factor_54	factor_55	factor_56	factor_57	factor_58	factor_59	factor_60	factor_61	factor_62	factor_63	factor_64	factor_65	factor_66	factor_67	factor_68	factor_69	factor_70	factor_71	factor_72	factor_73	factor_74	factor_75	factor_76	factor_77	factor_78	factor_79	factor_80	factor_81	factor_82	factor_83	factor_84	factor_85	factor_86	factor_87	factor_88	factor_89	factor_90	factor_91	factor_92	factor_93	factor_94	factor_95	factor_96	factor_97	factor_98	factor_99	factor_100
HG00096	71.1646242289921	25.9127916074754	-36.7055293740406	-94.3950833872278	11.1384447936773	-20.163509865864	-3.94717636717345	65.0011735049268	-78.4370605858736	-14.9376591228063	72.6419435768911	0.783697078174313	-85.1566005434453	-218.44412611237	-130.866387848239	97.7107686300731	-71.3599490922767	33.3890961053062	-100.383176455086	15.7496371762932	-6.40218757401152	-15.7499844636414	-19.3253823655737	-113.244089022769	-73.9999080110753	85.6711540607972	-92.186806906263	85.1303533207783	48.2453233010777	58.3319688007185	-112.493736861457	-109.266364328039	-82.4675916144667	59.4951017691173	107.775855458936	-105.157625239709	71.0758011471298	-113.444009723458	58.6363584632559	13.8130520062476	-32.9752641810344	46.1978718886486	-100.139732690891	-19.5295917343274	31.9535160243746	13.2130584652636	25.7181335183726	46.4475599734792	-7.41583710946681	-11.9204358988323	-49.9356222232995	61.4824069489794	45.9581931581511	113.339767652656	-27.1034151999845	8.72406446610977	69.7400419618873	-102.821898652799	30.0169234789895	-89.5463388211245	56.9392108737584	34.4386304962914	39.9084779203985	69.4028677647672	78.4832294213704	-35.6915185806211	-39.1750629890899	-75.6823973162998	-55.0029888200912	116.185255169852	-67.8845914109568	3.20469821842581	-37.7466163211704	6.4707021568012	-36.7555236417933	109.09198652912	-69.808802534983	83.4262951394101	73.4383164970089	-47.6346017830839	4.9077177740525	-68.5313613507328	-60.2791334434609	-44.4278907304592	49.7374033498315	-51.380139247031	86.7364185192845	6.89560968919541	-79.1284766626888	-0.749796654029349	34.5783320696956	16.4076459024033	61.2263289471603	-52.2829324106604	-90.4642218437042	26.11348087111	18.8170834221288	-47.3223114192524	41.06293546333	19.1761192834288
HG00097	18.3274734335411	52.7002875733197	31.6308017278325	-120.878217115858	-64.0109982115093	23.2380101897881	1.76120392167061	74.8741258409266	-91.404179149254	-30.2461488976102	76.0223978273069	-43.6949171738575	-80.9909445419067	-47.0497006707723	-62.9968049114231	88.7771998294676	-69.1306049526969	6.11585913633915	-102.012422046345	70.1502008900532	23.3368564587519	-18.2647332511484	-11.216748381604	-120.31405090186	-74.8503370512806	106.62883904359	-86.4829496032886	63.4768628391381	26.4640671677749	77.3411727758642	-55.0788142492756	-67.0086588781346	-93.3354988062152	50.6344246717651	59.2648946172414	-75.0664910605091	130.401870002165	-97.9518515209156	25.7451220290174	-28.5941329394842	-33.5162802759271	-20.0782017385435	-74.7832783063547	-2.94370447525229	70.7206346318811	-61.0161772106086	61.9127809616061	87.7915247430861	92.2259032457172	-21.3506363428945	11.0992832891252	39.1513957385649	96.4198835070831	78.6898671514509	-101.324366822948	-61.769986024336	89.9931978495726	-2.41661041074337	30.0677116728142	-61.2758151267324	62.1145662154011	69.7894843342782	117.036664009306	62.4998804445639	46.6009709098176	2.14076811974857	-55.8946777273579	-76.6761638033667	-53.8416914604401	131.993911376464	-61.9961992385817	62.5620261540448	-52.5922034777308	-21.5454268081823	-46.4944213322551	31.3930159789474	-61.1839036078126	-64.023212043368	65.7759613406482	-11.1581052719909	40.3244720955	-70.0844609089442	-54.780294006974	-45.4163075528521	-19.491357806861	-56.7202843254793	74.1140740960043	-4.75051993170303	-56.3445417582066	13.3422491600354	-4.95604026174562	0.347689389017752	28.9639760659504	-50.5987687757577	-125.27688858812	66.2206069697043	-48.4282783157343	-66.8398909340817	96.1126618104455	-28.783528632242
HG00099	160.598905883979	40.369562266331	-58.5449560143993	-59.9916155797357	-3.83500556437323	-2.19724091496558	-26.7455158079573	59.0878145305484	-69.2168482966264	-30.3304405677835	49.3923981467615	65.2271727080052	-78.5380421285193	-34.6752717120407	-62.5073127000499	92.2572140229267	-47.5258438444969	27.5047786618021	-95.0910129383995	30.6729777622462	19.3248116987668	-26.190191640188	-16.8471369334013	-68.6242889718102	0.989282032101428	89.7539939806722	-89.8449208463107	42.9566713719575	55.5346890760163	120.437637838641	-106.799807014056	-17.8706407297815	-114.460015957391	67.4761581930984	38.9576192623289	-80.0610992496331	77.4707022036186	-96.0348265392042	33.3906610613474	16.649684881899	-55.9107002618668	-4.60804023990562	-92.37022976825	-43.1211784501631	34.6081314445898	-38.0607436964051	-7.82890749786098	68.7339852243136	114.193401266604	-29.1995406619087	-26.2450328435162	44.7961531458764	18.6146861236794	57.6093132532241	-33.6721046001089	-102.241330850189	60.0325011099988	1.6373656928964	53.3661688660754	-41.3078849852141	38.7325892458943	46.5621696108009	103.765499988021	119.011728156117	-9.95253760966582	-50.1443308617436	-35.1035547572358	-65.7153038043623	-49.4087120160575	95.7426132860618	-22.9748268108871	-10.5630147626448	-32.8253571882861	-28.7243046957083	-8.76963645049989	119.849509550696	-38.2123460537616	66.0409879094644	47.7946066054856	-52.6155868547596	54.6205361659142	-64.9414275069862	-74.1513202474462	-69.6017046208372	-24.6724442710973	-54.7626594230437	67.0942163822082	7.99251777734116	-17.1373055576507	13.2110676992113	-8.01103214082933	4.93903106837564	-36.6276145693049	-68.3803003894451	-29.7860127256718	61.287447876605	-10.7838489877483	-45.8428991077958	-43.5530186656296	37.2400849718827
HG00100	121.006906933651	23.8134207708471	-21.5388727428289	58.2875950943702	-45.5843796730495	-46.651045707639	-32.7538218096501	82.4185244514722	-69.6361192511192	-37.0129151834694	73.3956210285308	-2.39544382991118	-89.8760250547805	-126.946155433084	-109.282534965189	110.277762929659	-68.7106855686584	40.7854732100872	-75.4895838463034	123.993921111047	-1.26224901522706	36.3101032246512	-69.241253442632	-16.7480467874124	-39.8753553331	103.649148944977	-84.4651890994022	45.8110603837696	18.7445504209459	-69.0544200693432	-109.449378879452	-93.8549624705053	-101.090554036548	-17.3747633132968	64.3066166371484	-60.2960901851312	85.3660640974253	-84.7819796664448	31.0273263462652	24.1630171987903	-67.0735494806457	57.5495953597029	-107.54537447514	-132.107619625246	88.2916374059579	-80.3252706096161	45.6256850346508	-63.0379009211375	103.891846125523	-24.186023036424	18.8205006276502	64.0747834303741	61.3100795406856	79.0653013662709	-57.2289838556329	-56.9652546945499	92.8368869928592	-44.9468130240893	77.7262894604712	-54.5079557080591	-31.0117113174055	80.5761084908272	59.1928246199307	60.5228262010983	4.91922882767057	-76.6578239511816	1.92855026052864	-44.8053500642707	-59.4080070443855	33.782393592877	-60.4057240816008	72.7027802719749	-29.0240167374488	3.21480974144403	-36.9688991934617	52.2741039378169	-98.6704203356811	-59.3597326770697	44.7249309920164	-41.6224969311054	22.2486014957121	-80.812576526851	-80.8690393812886	-51.0454325451699	45.1380720145304	-59.7727620029178	66.2195666136983	-3.15253621165392	-17.0136255161804	-15.8620173577527	40.120567313438	-91.5115827590144	-17.0068574667341	-67.5677992536021	-64.3730146567373	51.5001604242501	53.2036728378449	-17.2985479975452	-12.4790903690006	-7.73956839759257
HG00101	133.553485286202	56.2720919820224	-20.284740594568	-95.062948578371	-18.1713796424429	1.96199136697575	-14.5464158072515	65.2734357190058	-92.0563651015393	-45.2742246144449	80.1508377450151	63.4481178502523	-51.4890757197834	-46.0557108873936	-89.4998034079506	104.363015627104	-82.463062377642	38.6440990696771	-76.1451536861708	18.7876067054513	-1.05478474834588	-70.7406101561883	-50.6403259745724	-32.3608637869636	-40.1856280246938	88.0155443537493	-98.3912399906843	113.327227267753	31.4509834890912	60.865242787255	-83.7418733469247	-62.4480735423096	-38.2097005038445	20.0149550571024	60.0020945625076	-67.7182548807174	66.94616985596	-91.7830206637495	38.180721916868	-15.4456938348641	-52.5104115652407	103.512202927518	-41.9413964302793	-47.0814154677951	134.32196707839	19.2213990973611	71.4970215610679	79.9611987802989	99.892342553317	-15.0002493961293	-6.29881987892358	62.3313984378178	39.5219763817863	36.5086049573127	-35.1549436240545	-79.2400721620014	80.3537946361342	-22.6918867964346	75.6810534147548	-80.2626441188381	86.9147586114516	67.1867988789741	41.296023469724	66.6078627191727	76.4206806045281	-93.91035679169	-13.3409880003563	-53.5912417864077	-69.3512312944317	63.8027581836959	-69.8990756767521	115.573071457844	-54.0993281121309	-34.5164742786755	1.61860870688991	174.137372461669	-57.3236570514468	45.2666877710522	66.7097421448064	-17.5397589466135	54.5360349385297	-66.4553011492877	-29.0627740874584	-55.2648930447628	-0.399231732028881	-74.6063715558791	59.1583312044647	-8.26629342436551	-51.4774279430516	10.0490110130305	3.97925594081244	-99.9339371135573	7.59561541536139	-66.8489977834899	-125.011515613091	29.2888755139648	-30.232009664516	-59.7853882531846	15.1643574654824	1.28319158299681
HG00102	60.9881606119483	41.8562273728346	-36.6608723640298	-114.506023524043	-40.4373696841327	-24.7272346533237	34.6945748247312	81.3600765030782	-103.225854573625	-30.6854006498922	58.6886701722787	-127.56791677812	-102.438461515007	-80.0030859003811	-117.729988015453	109.325208220632	-48.5932866929184	31.6411635538171	-99.8096187688007	-12.6857845536445	30.004292428094	-5.24150571382017	-38.1484921528768	-70.805223620277	-72.2177123170982	20.9485860964391	-67.1504310014682	73.636153437583	14.6535182849075	82.5544220528641	-90.9965331568991	-32.9133698145729	-48.8232232331764	31.8982061753461	18.7831234569609	-46.7261261362042	101.136739665664	-104.528202194672	57.8398915912488	-13.8503777370828	-32.3957334749429	-24.6451594817165	-79.9688573727721	-32.2806517568861	38.4419044519829	-65.0898120295738	6.65731048016447	-12.9871617360275	2.60730939398882	-22.042042002492	-39.689220941821	33.8794114310621	70.3200185078893	86.3145434353554	-133.132142348214	-91.5724452555424	84.6652630064416	-46.0410224583408	59.0678834522726	-61.6819387649983	63.261350290577	99.8035218649461	40.1557613525256	96.3229238493275	41.8456575492147	-13.5778448346908	-28.8257919992021	-53.2500895177466	-56.8518749244877	-13.9672416134234	-39.5216971453705	71.6213839698559	-53.2022983725529	-8.28046804736868	-42.593386795803	72.6639911891846	-83.7061915515644	19.939946332917	80.789870240767	-13.2278678674504	39.4974359434975	-36.1552047869161	-36.7377432047384	-73.7435560431994	57.7695984680701	-83.3031064733438	85.7856864880015	12.8198408295972	-68.0615820210647	-22.3715378020309	16.7864991120494	-8.45205160534731	43.7709016607445	-52.3424224050237	-73.4787660550169	54.1344058091294	-5.82718760763279	-95.3137325041603	59.5820435721793	34.0443583200786
HG00103	64.5429057811344	38.7195109224544	-26.9198283240191	49.3114794888321	5.62674781085904	6.33400260270126	-12.3892594471404	74.2994358341016	-100.299081632586	-48.8293511240426	53.4661538210551	-127.85370018211	-48.9216066657728	-43.335265546836	-106.240140384676	98.6886908032719	-76.2070001816007	29.1643700589141	-37.401730965844	75.3060032705442	39.6328673834	-2.03397556775031	-47.4217723934831	-71.3708944690248	-70.1079787194972	43.379848199301	-63.1844157570348	55.5726949324431	-16.3150421490465	82.1531654938804	-74.5193448201897	-28.1156999810791	-95.7814568790578	3.51076040169398	140.982621614421	-105.585960921594	55.84934243109	-122.526365232287	36.304930689633	33.5824988566928	-58.1974193445343	6.17498531971204	-147.783035090151	-23.7820659312665	111.19818178719	-43.2771132056401	66.263746808364	24.2617416842859	-30.4095501688298	-10.5337501752888	-72.5934718835898	96.2902352908	44.3967472014782	66.283833486798	-57.6332469109996	-80.5184454148747	80.2098531546979	-65.773279645265	28.021777320285	-57.4113647279729	-31.9500101066738	96.1492211066017	87.9223738902583	56.2782499157902	10.2628811469399	-29.2239179674767	-5.20532384435819	-78.4465104999094	-64.8577573785583	-8.1376391040924	-57.549506901342	54.5915770556517	-41.4909784943757	3.00742907326898	-42.9246081426057	63.1324051958807	-85.7856315227636	132.023127288265	12.1259918783159	-68.397219706695	135.187988759806	-59.95183267273	-52.641588141795	-66.3528204194547	3.01637833636581	-70.9887950505576	62.0628759903458	-1.43631664748087	-80.4007502703765	7.73139843111338	-9.32971702025946	-44.3941375150167	-3.83095859441171	-38.6827934007578	-38.5135445265635	36.5310469657234	-64.3830300876685	-59.9501540061378	32.9790060113111	15.4603021376379
HG00105	108.744671980169	44.5841891264999	-40.8455117797765	-37.4066190401956	-39.3318158437964	-18.2865121787752	49.9266988818309	65.1066976771939	-58.6392879067506	-68.0138890464542	70.0860878374229	-40.270792929918	-74.4905671612351	-94.9619863833375	-110.670582936212	85.9906888215061	-51.7872251201364	56.1841868391773	-132.590662828342	-20.0580733558503	-16.9814098989533	-9.03615196228656	-17.2289962508908	-80.5249322926358	-33.1177276444062	-46.6707461668888	-105.378915114468	107.967324503074	10.4765794227925	37.0861330077261	-44.6508146184221	-100.596235015681	-102.144557127053	-8.65950293205167	126.855270249949	-78.1088124980159	70.0191567444922	-86.7196945176644	35.4759302587357	-29.4454270505478	-82.473915147205	21.0003570617402	-103.984930595778	-116.90071791647	85.2309620483776	-0.308722743250431	-58.9300471033161	6.8452321741524	23.7431078795284	4.09062683086563	23.0233883259929	63.3230394624323	22.7413315690048	-0.0212694124722645	1.51539491848852	-110.010432302388	75.65966776747	-46.3632361611481	112.109070373352	-47.8169368219839	90.5172597090658	32.1731135014321	73.6927350545883	22.1861367143874	80.4917479170751	-20.6722109161369	4.27525476776758	-74.6090613146618	-54.6875697852404	78.3481126222887	-42.9047319089975	51.1579134067696	-42.910540221173	-22.4676371654319	-68.5605090572041	184.432018126439	-70.3810052060716	23.7771175036889	48.62683228241	-71.7994810744497	25.9011245883083	-43.1038643499642	-10.7566720954559	-34.8206717249153	57.3968325351273	-55.0756972735254	48.7878173675677	-1.8876395461993	-13.4741810404107	-10.1669543116569	-25.3788903229987	-8.55454197786079	10.59762724135	-32.9334116252043	-92.2439332479688	82.6566193560303	11.9818870723935	-108.602661009305	-74.5780940968279	34.9431922958256
HG00106	2.88695383157443	34.7469326977219	33.8445619626445	-77.5549040061365	7.43378487895306	23.2225796572008	-70.8773969318414	70.299917218111	-96.5143236318489	-36.5135697821263	59.1673567012425	-30.7396778790675	-102.174204130555	-88.9975824724034	-111.642069494639	160.440156382885	-77.549079890761	71.2587262338829	-94.0640063060867	-12.219988780694	10.9273208922787	-11.8665993011332	-63.6164733518786	-69.739476263715	-38.6037541385313	15.9106391622462	-90.9229841436883	122.064332788714	-29.4319615365155	59.178331096544	-81.6767306772558	-53.2942641995852	-61.69746696163	57.127719057199	25.1448800968486	-66.0029548574477	105.767955619475	-88.935322022161	48.8790980702552	12.8101717396813	-73.8726046968402	29.2469483462049	-91.4319402437848	-69.9781944515523	65.0894178464346	17.145577473601	19.9342495668544	46.9401069112583	65.4703226359955	-20.1644789974785	64.4059093054984	49.9110324372859	35.8140044357055	-1.04015892395277	-61.8298819546245	-81.7372410891245	75.0533876505903	-40.1683097978912	58.7862217687456	-67.6137278782841	19.3851293463812	91.9548701209843	45.29252875726	58.5104864292004	-17.1173731871471	33.6645996257093	-29.9508286728446	-61.9318526959867	-75.1340776778939	75.6768089406406	-45.8478426750073	59.3451822843829	-33.6102596003223	-29.4826915767961	-7.12540765222358	187.939821615203	-60.7406259183186	112.077095665765	80.9251394532743	-29.3588862116482	-10.9751599929276	-75.9899979453282	-62.4981053047288	-76.2661779609442	-33.7133032834968	-37.3111097846295	91.1943283148102	3.97734315541966	-31.4401372181604	-4.43119393585878	-36.1235592435703	5.83531863975192	55.5729644013429	-70.1459678431192	23.2353958884957	23.4280191461751	-3.56974219121187	-144.902416788919	83.2369982259993	34.5135140356129
HG00108	105.101931229728	34.0133889607519	3.82595329589653	-43.4038653078697	-9.76414884302019	-34.5721541728614	-51.8336964030136	62.6131340752474	-109.312974537699	-48.6461637606341	87.289265617835	-17.9000016810521	-64.3800236816852	-55.5756420136029	-89.5100980382608	121.199017401474	-91.4127140524945	28.4828610259641	-138.781084884829	54.5542874624306	-45.6907895924847	-3.0225350264546	-25.4441333278444	-56.119966031344	-82.0005767044739	-0.0648885439992135	-90.0697103853636	94.6765630370431	62.1713560674343	54.7479334385451	-96.7633271094341	-58.4346298395285	-74.0663253490444	78.7670047270641	44.487771142724	-156.615344547386	127.121797081766	-110.918388542168	68.1795033875522	-31.9555786129262	-45.6929554446174	78.5124117941676	-95.0645354373644	-67.6859629798504	41.6275170886264	7.00539376590664	79.2168012665551	22.2741587882995	56.6596242323172	-27.4735548212487	72.3254388150213	50.5568246654043	14.4975030277681	63.9507792637014	-75.544138675235	-96.2910406445167	94.5293375819755	-46.2173838359595	42.2766383721453	-70.9474992064898	52.439930505223	53.1678679905308	93.2058026428347	74.7816293362919	1.74792484724518	-21.6489220357259	5.17214435469754	-69.02447119705	-58.8645166317126	62.337359609461	-57.1200702191249	57.8355002047846	-41.1779211048849	-51.535461695033	-68.6858790879497	41.7890532074641	-21.7097166964007	20.6824178785922	33.7346688629718	-85.1549614491192	45.3241945396297	-62.3286951526044	-66.8755907071694	-30.1188169083378	75.2685021504883	-57.6366575281489	63.4863213902011	0.508104299960872	-109.671252276835	-4.7015958358844	-91.8711238266895	-14.8657765056283	-28.9556405143718	-72.5039076446241	-130.023119842536	31.6906821513113	-23.7521776455034	-41.2334501679865	6.5753042680027	4.15236284329607
